id|title|year|director|plot
1|The Shawshank Redemption|1994|Frank Darabont|"Two imprisoned men bond over a number of years, finding solace and eventual redemption through acts of common decency."
2|The Godfather|1972|Francis Ford Coppola|"The aging patriarch of an organized crime dynasty transfers control of his clandestine empire to his reluctant son."
3|Pulp Fiction|1994|Quentin Tarantino|"The lives of two mob hitmen, a boxer, a gangster and his wife intertwine in four tales of violence and redemption."
4|The Dark Knight|2008|Christopher Nolan|"When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice."
5|Forrest Gump|1994|Robert Zemeckis|"The presidencies of Kennedy and Johnson, the Vietnam War, the Watergate scandal and other historical events unfold from the perspective of an Alabama man with an IQ of 75, whose only desire is to be reunited with his childhood sweetheart."
